FROM	TO	LENGTH	EVALUE	SCORE	SENSE	
14292	9147	23357	0	5819.6	Reverse
1	5146	23357	0	5815.8	+
18213	23357	23357	0	5808.8	+
12589	12614	23357	1.9	7.6	+
13924	13932	23357	1.9	13.7	+
14202	14228	23357	1.9	9.4	+
15679	15744	23357	1.9	13.1	+
455	455	23357	1.9	15.3	Reverse
924	924	23357	1.9	15.6	Reverse
1704	1679	23357	1.9	7.6	Reverse
3903	3901	23357	1.9	15.2	Reverse
3954	3954	23357	1.9	15.3	Reverse
4961	4935	23357	1.9	9.4	Reverse
5213	5213	23357	1.9	14.7	Reverse
16570	16570	23357	1.9	14.7	Reverse
16573	16573	23357	1.9	15.4	Reverse
17445	17445	23357	1.9	15.4	Reverse
17480	17480	23357	1.9	15.3	Reverse
17698	17698	23357	1.9	16.2	Reverse
18608	18606	23357	1.9	12.2	Reverse
19915	19890	23357	1.9	7.6	Reverse
22509	22509	23357	1.9	16.0	Reverse
23172	23146	23357	1.9	9.4	Reverse
