Copia-10_NN-I	1.9e-50	+
Copia-49_RC-I	2.2e-50	+
Copia-11_ALY-I	2.2e-50	+
Copia-8_CQ-I	2.8e-50	+
Copia-24_LU-I	4.7e-50	+
Copia-2_BD-I	5.2e-50	+
Copia-54_PIT-I	6.2e-50	+
Copia3-ZM_I	1.1e-49	+
Copia-1_DFi-I	1e-48	+
Copia-42_BRa-I	1.2e-48	+
Copia-34B_ECa-I	1.6e-48	+
Copia-1_ADe-I	2.4e-48	+
Copia-23_Pru-I	3.5e-48	+
Copia-21_LU-I	1.4e-47	+
Copia-34_Pru-I	6.6e-47	+
Copia-2_SCH-I	6.6e-47	+
Copia-1_SCH-I	7.7e-47	+
Copia-30_CCri-I	1.2e-46	+
Copia-17_PAb-I	1.3e-46	+
Copia-14_CCri-I	1.3e-46	+
RT_CA	4e-46	+
Copia-162_CCri-I	4.1e-46	+
Copia-47_CCri-I	4.9e-46	+
Copia-86_MN-I	5.6e-46	+
Copia-2_BD-I	5.9e-46	+
Copia-23_Pru-I	1.2e-45	+
TCA2_I	2.1e-45	+
Copia-23_MN-I	5.5e-45	+
Copia-1_BDJ-I	5.7e-45	+
Copia-29_PX-I	6.2e-45	+
Copia-24_LU-I	1.4e-44	+
Copia-6_PSo-I	1.8e-44	+
Copia-20_CQ-I	2.8e-44	+
Copia-52_GM-I	8.7e-44	+
Copia-1_HMM-I	3.1e-43	+
Copia-11_PTrit-I	7.9e-43	+
SPRT1_IB_I	9.5e-43	+
Copia-28_TC-I	1.3e-42	+
Copia-1-I_HS	2.8e-42	+
Copia-83_ST-I	5.4e-42	+
Copia-136_CCri-I	1.7e-41	+
Copia-2_DBp-I	2.1e-41	+
Copia-2_Cia-I	2.1e-40	+
Copia-1_MLe-I	2.5e-40	+
TND1_I	8.5e-40	+
COPN_MT_I	1.3e-39	+
Copia-39_MLP-I	1.2e-38	+
Copia-2_AFC-I	1.6e-38	+
ATCOPIA41I	7.7e-38	+
Copia-40_CCri-I	1.5e-37	+
Copia-3_MLe-I	2.2e-37	+
Copia-1_LENY-I	5.2e-37	+
Copia-116_CCri-I	5.9e-37	+
Copia-2_DKi-I	6.8e-37	+
PCAL_I	1.6e-36	+
Copia-83_ST-I	3.5e-36	+
Copia-2_CDC-I	4.1e-36	+
Copia-10_CCri-I	4.1e-36	+
Copia-9_Ano-I	1.3e-35	+
Copia5-I_DR	1.3e-35	+
TY5	2e-35	+
Copia-4_CCri-I	3.4e-35	+
Copia-23_CCri-I	5.3e-35	+
Copia-7_BG-I	6.5e-35	+
Copia-62_ZM-I	9.9e-35	+
Copia-1_CQ-I	1.9e-34	+
Copia-105_Mad-I	3e-34	+
Copia-98_SB-I	4.2e-34	+
Copia-100_CCri-I	6.6e-34	+
Copia-4_SMo-I	7.3e-34	+
Copia-7_SSa-I	7.3e-34	+
Copia-149_CCri-I	1.3e-33	+
Copia-5_Ano-I	1.4e-33	+
Copia-2_LG-I	1.5e-33	+
Copia-3_CGi-I	1.5e-33	+
Copia-26_BRa-I	1.5e-33	+
Copia-1-I_BF	2.8e-33	+
Copia-29_DPu-I	4.9e-33	+
Copia-65_VV-I	5.3e-33	+
Copia-53_MLP-I	5.5e-33	+
Copia-3_PTc-I	6.8e-33	+
Copia2-I_TP	9.3e-33	+
Copia-148_CCri-I	1.9e-32	+
Copia-15_ST-I	2.3e-32	+
Copia-8_PAb-I	1.2e-31	+
Copia-77_BG-I	1.4e-31	+
Copia-158_CCri-I	2.4e-31	+
Copia-70_PX-I	7.4e-31	+
Copia-56_CCri-I	7.5e-31	+
Copia-3_MMa-I	1e-30	+
Copia-5_PSt-I	1.4e-30	+
Copia-8_GR-I	1.5e-30	+
